"filename", "language", "TypeScript JSX", "TypeScript", "XML", "CSS", "comment", "blank", "total"
"c:\Users\rugil\Desktop\BAKIS\SimplyRecruit\Front\recruit-front\src\App.css", "CSS", 0, 0, 0, 37, 0, 7, 44
"c:\Users\rugil\Desktop\BAKIS\SimplyRecruit\Front\recruit-front\src\App.test.tsx", "TypeScript JSX", 8, 0, 0, 0, 0, 2, 10
"c:\Users\rugil\Desktop\BAKIS\SimplyRecruit\Front\recruit-front\src\App.tsx", "TypeScript JSX", 32, 0, 0, 0, 0, 3, 35
"c:\Users\rugil\Desktop\BAKIS\SimplyRecruit\Front\recruit-front\src\Components\Auth\LoginButton.tsx", "TypeScript JSX", 78, 0, 0, 0, 0, 6, 84
"c:\Users\rugil\Desktop\BAKIS\SimplyRecruit\Front\recruit-front\src\Components\Auth\LogoutButton.tsx", "TypeScript JSX", 27, 0, 0, 0, 0, 5, 32
"c:\Users\rugil\Desktop\BAKIS\SimplyRecruit\Front\recruit-front\src\Components\Nav.tsx", "TypeScript JSX", 174, 0, 0, 0, 0, 8, 182
"c:\Users\rugil\Desktop\BAKIS\SimplyRecruit\Front\recruit-front\src\Components\ProtectedRoute.tsx", "TypeScript JSX", 13, 0, 0, 0, 0, 4, 17
"c:\Users\rugil\Desktop\BAKIS\SimplyRecruit\Front\recruit-front\src\Pages\Home.tsx", "TypeScript JSX", 18, 0, 0, 0, 0, 6, 24
"c:\Users\rugil\Desktop\BAKIS\SimplyRecruit\Front\recruit-front\src\Pages\Login.tsx", "TypeScript JSX", 51, 0, 0, 0, 0, 3, 54
"c:\Users\rugil\Desktop\BAKIS\SimplyRecruit\Front\recruit-front\src\Pages\Projects.tsx", "TypeScript JSX", 5, 0, 0, 0, 0, 3, 8
"c:\Users\rugil\Desktop\BAKIS\SimplyRecruit\Front\recruit-front\src\Pages\Register.tsx", "TypeScript JSX", 108, 0, 0, 0, 0, 5, 113
"c:\Users\rugil\Desktop\BAKIS\SimplyRecruit\Front\recruit-front\src\Styles\Theme.tsx", "TypeScript JSX", 43, 0, 0, 0, 0, 8, 51
"c:\Users\rugil\Desktop\BAKIS\SimplyRecruit\Front\recruit-front\src\index.css", "CSS", 0, 0, 0, 12, 0, 2, 14
"c:\Users\rugil\Desktop\BAKIS\SimplyRecruit\Front\recruit-front\src\index.tsx", "TypeScript JSX", 15, 0, 0, 0, 3, 3, 21
"c:\Users\rugil\Desktop\BAKIS\SimplyRecruit\Front\recruit-front\src\interceptors\axios.tsx", "TypeScript JSX", 37, 0, 0, 0, 0, 7, 44
"c:\Users\rugil\Desktop\BAKIS\SimplyRecruit\Front\recruit-front\src\logo.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\rugil\Desktop\BAKIS\SimplyRecruit\Front\recruit-front\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 1, 1, 2
"c:\Users\rugil\Desktop\BAKIS\SimplyRecruit\Front\recruit-front\src\reportWebVitals.ts", "TypeScript", 0, 13, 0, 0, 0, 3, 16
"c:\Users\rugil\Desktop\BAKIS\SimplyRecruit\Front\recruit-front\src\setupTests.ts", "TypeScript", 0, 1, 0, 0, 4, 1, 6
"Total", "-", 609, 14, 1, 49, 8, 77, 758
